state,county,p1_lcoc,p2_lcoc,p3_lcoc,p4_lcoc,comb_lcoc
FL,Polk,0.98,0.23,0.2,0.15,0.1896261932916287
FL,Putnam,1.42,0.23,0.27,0.17,0.2392564038965053
FL,Santa Rosa,1.21,0.22,0.18,0.13,0.17208104194894575
FL,Sarasota,1.22,0.24,0.23,0.17,0.21607072148688156
FL,Seminole,1.2,0.23,0.23,0.16,0.21162789648993913
FL,St Johns,1.18,0.22,0.23,0.17,0.21436396761136348
FL,St Lucie,1.64,0.26,0.25,0.18,0.2352664416356251
FL,Sumter,0.95,0.22,0.19,0.15,0.18307638294041573
FL,Suwannee,1.2,0.23,0.23,0.16,0.21162789648993913
FL,Taylor,0.97,0.21,0.18,0.15,0.17687471861519363
FL,Union,1.42,0.23,0.27,0.17,0.2392564038965053
FL,Volusia,0.98,0.23,0.2,0.15,0.1896261932916287
FL,Wakulla,0.98,0.23,0.2,0.16,0.19321564135081207
FL,Walton,1.43,0.23,0.18,0.12,0.17073755493148485
FL,Washington,1.21,0.22,0.18,0.15,0.17925993806731252
GA,Appling,1.0,0.21,0.18,0.15,0.17708360623078817
GA,Atkinson,1.0,0.21,0.18,0.15,0.17708360623078817
GA,Bacon,1.0,0.21,0.18,0.15,0.17708360623078817
GA,Baker,0.95,0.21,0.19,0.17,0.1895411605314198
GA,Baldwin,1.0,0.24,0.21,0.16,0.19969582249682685
GA,Banks,0.96,0.19,0.15,0.13,0.15131754361213606
GA,Barrow,1.0,0.21,0.18,0.15,0.17708360623078817
GA,Bartow,0.98,0.23,0.18,0.16,0.1819620329343006
GA,Ben Hill,0.99,0.23,0.17,0.14,0.16922596181287627
GA,Berrien,1.06,0.17,0.17,0.13,0.16183920702590393
GA,Bibb,1.14,0.25,0.19,0.16,0.19013114148045251
GA,Bleckley,1.0,0.21,0.16,0.14,0.1622405497550933
GA,Brantley,0.98,0.22,0.18,0.17,0.18483736246612129
GA,Brooks,0.9,0.17,0.16,0.13,0.15509833553447738
GA,Bryan,0.95,0.2,0.17,0.14,0.16680508940999547
GA,Bulloch,0.96,0.19,0.15,0.13,0.15131754361213606
GA,Burke,1.0,0.2,0.16,0.13,0.1579369831685472
GA,Butts,1.04,0.25,0.17,0.14,0.17100234489359253
GA,Calhoun,1.06,0.26,0.21,0.18,0.2087207309011081
GA,Camden,0.98,0.22,0.18,0.17,0.18483736246612129
GA,Candler,0.97,0.21,0.19,0.15,0.1825015228234494
